L 1,L 2,Angul,Baleshwar,Baragarh,Bhadrak,Bolangir,Boudh,Cuttack,Deogarh,Dhenkanal,Gajapati,Ganjam,Jagatsinghpur,Jajpur,Jharsuguda,Kalahandi,Kandhamal,Kendrapara,Keonjhar,Khordha,Koraput,Malkangiri,Mayurbhanj,Nabarangpur,Nayagarh,Nuapada,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh,Grand Total
Builtup,Mining,26.44,2.36,0.97,,1.59,,1.73,,1.44,0.06,4.70,,21.03,20.32,,,,51.63,5.07,4.20,0.99,0.04,,,,,,0.25,,22.25,165.07
Builtup,Rural,103.22,565.18,50.88,250.21,87.77,25.32,352.81,48.23,95.49,10.38,142.94,255.02,272.53,48.97,81.44,30.30,251.36,389.54,146.55,171.24,142.43,605.75,244.47,53.89,53.29,252.65,20.30,59.16,27.48,141.95,4980.75
Builtup,Urban,57.36,25.52,7.11,20.47,43.68,1.49,100.03,3.04,18.18,4.45,42.76,38.22,29.47,32.23,17.06,6.84,16.03,26.71,125.46,21.58,6.47,11.83,3.85,3.93,6.53,35.93,12.24,28.99,3.07,102.82,853.36
Forest,Deciduous,2538.22,299.97,681.94,0.56,1104.22,1169.84,555.92,1089.43,1130.90,1530.61,2289.31,22.17,216.73,268.64,2254.14,4706.78,1.76,2642.04,382.74,1943.76,1360.52,3652.94,935.22,1239.52,1183.26,101.99,3210.51,2678.37,212.56,3858.84,43263.43
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,0.36
Forest,Forest Plantation,7.36,7.48,0.28,1.07,13.84,0.46,30.62,0.24,20.14,3.75,91.59,0.56,20.18,3.64,9.28,0.05,8.18,44.23,89.36,181.66,7.59,32.29,215.08,6.58,12.51,56.23,2.69,6.12,0.05,1.55,874.65
Forest,Scrub Forest,324.14,39.34,321.58,,210.85,148.44,121.69,98.62,73.26,239.67,380.69,0.69,64.04,38.20,329.16,253.57,6.34,316.08,147.08,164.92,466.59,187.72,413.82,460.69,308.85,11.61,160.68,286.54,147.21,243.72,5965.79
Forest,Swamp / Mangroves,,4.82,,24.13,,,,,,,,6.58,,,0.07,,184.84,,,,,,,,,0.03,0.33,,,,220.81
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,48.29,,58.19,,,,,,,49.99,31.89,,,,,17.50,,59.40,,,,,,,913.40,,,,,1178.66
Wet lands / Water bodies,Inland Wetland,2.93,12.18,0.55,28.03,1.19,,45.88,0.23,0.50,2.17,24.63,14.65,53.59,2.56,0.44,,28.48,11.49,40.38,2.68,,0.44,0.55,1.23,,192.52,,1.37,0.01,0.21,468.89
Wet lands / Water bodies,River/Stream/Canals,148.53,86.70,87.87,49.40,114.25,101.02,438.83,28.69,128.05,21.15,82.22,133.57,116.83,27.55,122.00,39.80,166.73,118.62,24.72,118.61,65.51,93.41,44.97,56.40,42.79,82.24,62.09,115.48,146.56,166.96,3031.54
Wet lands / Water bodies,Water bodies,163.84,41.28,218.62,25.20,73.63,16.48,12.18,216.09,25.71,18.85,94.40,24.87,16.13,403.89,114.21,6.94,41.09,61.83,19.96,197.75,178.06,64.95,43.41,21.09,48.09,72.19,11.33,176.79,26.05,54.97,2489.88
