L 1,L 2,Bagalkot,Ballari,Belagavi,Bangalore Urban,Bangalore Rural,Bidar,Chamrajnagar,Chikkaballapura,Chikkamagaluru,Chitradurga,Dakshin Kannad,Davanagere,Dharwad,Gadag,Hassan,Haveri,Kalaburagi,Kodagu,Kolar,Koppal,Mandya,Mysore,Raichur,Ramanagara,Shivamogga,Tumakuru,Udupi,Uttar Kannad,Vijayapura,Yadgir,Grand Total
Builtup,Urban,86.04,135.01,120.14,823.40,64.77,55.20,14.15,21.81,34.04,47.93,162.42,64.20,112.73,40.94,48.38,40.36,102.96,22.37,57.14,54.43,35.41,163.53,49.56,41.28,72.41,74.21,89.98,152.98,67.43,19.44,2874.66
Forest,Deciduous,39.06,7.13,532.14,82.31,7.89,6.53,2249.12,3.25,1602.76,384.93,892.07,227.09,231.25,10.99,246.13,110.90,83.78,1957.61,10.97,7.05,134.01,59.38,,466.61,1965.95,372.92,973.29,2246.33,,13.99,14925.45
Forest,Evergreen/Semi evergreen,,,564.70,,,,337.79,,864.04,,894.28,,,,169.36,23.27,,786.48,,,,768.50,,0.15,986.06,,696.12,4504.56,,,10595.31
Forest,Forest Plantation,13.77,95.64,81.63,9.54,47.10,11.49,2.14,15.36,135.39,104.09,48.72,49.92,6.34,8.66,27.41,127.19,2.75,60.89,86.55,0.00,10.99,15.68,,18.69,253.24,23.42,6.02,803.42,0.51,2.33,2068.88
Forest,Scrub Forest,629.86,620.96,523.07,40.12,85.55,128.57,148.10,394.03,207.39,261.02,260.19,409.71,140.91,287.98,130.81,137.65,184.66,108.78,223.68,115.64,129.37,115.87,121.12,180.73,242.90,363.55,211.57,489.97,15.07,202.48,7111.27
Forest,Swamp / Mangroves,,0.13,,,,,,,,,0.17,,,,,,,,,,,,,,,,4.80,1.15,,,6.25
Grass / Grazing,Grass / Grazing,,,18.67,0.46,,,9.43,,0.64,,50.86,,,2.15,54.66,,,76.37,,,0.47,0.70,,0.02,65.43,,8.71,12.19,,,300.76
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,2.53,,,,,,,,,,,,,,,,12.10,9.35,,,23.98
Wet lands / Water bodies,Inland Wetland,5.96,0.04,4.80,7.96,,,,,,,4.95,0.03,,0.00,0.26,,0.18,,,0.01,,0.13,,,,0.04,0.64,4.86,,0.63,30.50
Wet lands / Water bodies,River/Stream/Canals,81.24,149.34,102.81,3.46,2.87,41.67,60.13,16.93,27.38,46.56,95.97,36.68,24.71,37.53,42.77,47.00,127.51,39.48,3.44,140.42,67.23,85.60,176.26,20.05,58.67,42.09,50.37,110.31,149.39,110.94,1998.80
Wet lands / Water bodies,Water bodies,338.19,304.47,260.01,96.86,106.94,67.94,67.47,193.14,192.33,319.43,8.48,134.26,35.14,18.13,286.30,125.96,76.84,33.79,276.03,250.79,194.81,219.06,73.35,87.31,492.75,506.76,32.86,232.59,195.28,70.83,5298.10
