L 1,L 2,Angul,Baleshwar,Baragarh,Bhadrak,Bolangir,Boudh,Cuttack,Deogarh,Dhenkanal,Gajapati,Ganjam,Jagatsinghpur,Jajpur,Jharsuguda,Kalahandi,Kandhamal,Kendrapara,Keonjhar,Khordha,Koraput,Malkangiri,Mayurbhanj,Nabarangpur,Nayagarh,Nuapada,Puri,Rayagada,Sambalpur,Sonepur,Sundargarh,Grand Total
Builtup,Mining,36.81,2.59,1.45,,1.59,,4.62,,1.69,0.23,5.39,,24.74,28.27,,,,69.76,9.58,4.62,0.99,0.06,,,,,,0.25,,29.22,221.86
Builtup,Rural,102.60,564.97,50.88,250.04,87.77,25.32,350.47,48.23,95.49,10.38,144.24,253.25,270.57,48.58,81.44,30.30,251.49,385.29,148.77,172.03,142.43,605.75,244.47,53.89,53.29,255.24,20.30,58.49,27.48,141.83,4975.29
Builtup,Urban,81.54,25.52,7.65,24.98,44.60,1.49,111.04,3.04,24.93,4.45,56.05,52.12,47.30,60.35,19.71,7.08,16.21,34.07,174.18,23.43,6.68,12.62,3.85,3.93,6.68,36.48,12.50,51.02,3.19,124.21,1080.89
Forest,Deciduous,2539.06,301.39,683.52,0.56,1102.22,1175.98,556.20,1093.22,1127.28,1516.02,2291.72,22.17,216.29,262.17,2237.40,4687.24,1.89,2629.07,387.42,1919.31,1348.39,3656.18,937.98,1266.20,1173.37,102.29,3192.41,2684.87,216.34,3854.74,43182.88
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,0.36
Forest,Forest Plantation,7.99,7.51,0.28,0.11,13.92,0.46,30.18,0.24,20.14,3.75,91.39,0.36,20.18,3.64,9.53,0.05,8.15,43.84,88.58,183.77,7.59,32.73,214.79,6.58,12.00,56.17,2.69,6.12,0.05,1.55,874.32
Forest,Scrub Forest,316.85,40.04,320.00,,212.80,138.74,121.33,94.82,76.88,508.76,411.91,0.69,63.20,37.94,414.58,273.51,6.06,319.15,142.01,225.16,462.06,184.13,412.22,434.01,318.35,11.32,202.06,279.56,143.43,244.60,6416.18
Forest,Swamp / Mangroves,,5.13,,46.81,,,,,,,,6.54,,,0.07,,188.37,,,,,,,,,0.03,0.33,,,,247.28
Grass / Grazing,Grass / Grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,52.41,,30.27,,,,,,,49.99,23.84,,,,,19.92,,59.40,,,,,,,894.49,,,,,1130.32
Wet lands / Water bodies,Inland Wetland,3.06,12.35,0.55,27.43,1.19,,47.58,0.23,0.50,2.17,24.09,16.36,51.67,2.56,0.44,,26.60,11.49,42.65,2.62,,0.44,0.55,1.23,,187.37,,1.37,0.01,0.21,464.71
Wet lands / Water bodies,River/Stream/Canals,148.01,83.89,87.69,49.40,114.13,101.02,438.72,28.69,128.05,21.15,82.46,134.31,116.80,27.55,122.00,39.80,167.44,118.62,24.57,119.29,65.51,93.41,44.97,56.24,41.86,82.21,62.09,115.48,146.15,167.30,3028.80
Wet lands / Water bodies,Water bodies,163.84,44.59,220.06,58.01,74.96,16.61,12.26,216.09,25.71,18.85,95.40,36.78,16.10,403.32,114.21,5.10,46.93,61.90,20.70,197.75,178.22,65.02,43.41,21.09,55.61,99.25,11.33,176.94,25.92,54.97,2580.92
